axis,source,target,distance,basis,rounds,patch,prior,calibrator,ece,nll
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0008030064892058694,0.01793545278597815
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.0008115371883275339,0.017870322719705102
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.003519010884214657,0.020471255396331243
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.0034561592560656564,0.023002635027092273
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0009897201927487587,0.018015844570838206
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.0008791782689558194,0.017816989811697437
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0003859838251756814,0.017787567896163585
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.0007391754445910553,0.018300985104556567
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0009117429390654501,0.0180351842568248
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.001226826861295504,0.018029555714822634
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0003126801609285071,0.017909979846338554
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.0006192034789523165,0.018694323171437516
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0008129315585544752,0.01790487165102273
patch,d3_at_q6_11/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.000684089602917813,0.017801316551151785
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0008838097812431054,0.018186315096875037
patch,d3_at_q6_3/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.0004702853523742822,0.01860988914689561
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.00907965617661447,0.02297115524010132
patch,d3_at_q6_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.009708413416271083,0.024056575261824663
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0015838929880732286,0.018126586221990683
patch,d3_at_q8_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.00105790776685123,0.01889550920184241
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.008072008811317736,0.02204317929510145
patch,d3_at_q8_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.009043180613515651,0.02362315417554982
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,platt,0.0026225236443918392,0.018756658226503527
pooled,pool:d3/X/r1 without q10_7 (8 patches),d3_at_q10_7/X/r01,3,X,1,q10_7,si1000,isotonic,0.0028226411190706677,0.01860562852588445
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,platt,0.00642578032021301,0.1720824719598106
same,d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,isotonic,0.005817645587512854,0.1714743380648305
sim,sim:d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,platt,0.02556264867697943,0.1851580242927864
sim,sim:d3_at_q10_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,isotonic,0.025273810697029976,0.18706175417745086
basis,d3_at_q10_7/Z/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,platt,0.008523812345669355,0.17243317928865906
basis,d3_at_q10_7/Z/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,isotonic,0.008619298130371694,0.17452338606429257
patch,d3_at_q2_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,platt,0.00779355578067498,0.17235725850314348
patch,d3_at_q2_7/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,isotonic,0.005504466950806057,0.17280815978133685
patch,d3_at_q4_5/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,platt,0.00815521018130551,0.1726174711222479
patch,d3_at_q4_5/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,isotonic,0.007806011172936929,0.17446883384271794
patch,d3_at_q4_9/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,platt,0.015012399047182521,0.17403469582301526
patch,d3_at_q4_9/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,isotonic,0.014872634445661935,0.17477643953810432
patch,d3_at_q6_11/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,platt,0.011043695749863353,0.17300788730338548
patch,d3_at_q6_11/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,isotonic,0.01185863791922687,0.17307961250158205
patch,d3_at_q6_3/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,platt,0.007026000387324968,0.17183881570897655
patch,d3_at_q6_3/X/r10,d3_at_q10_7/X/r10,3,X,10,q10_7,si1000,isotonic,0.008926098015128035,0.17320414671674855
